x;y;z;p
0.4552825514;0.1283322132;1;-0.6222268656
0.4680502008;0.1271686674;0;-0.6091217574
0.4680502008;0.1271686674;1;-0.6091217574
0.4811797346;0.1258005528;0;-0.5947580477
0.4811797346;0.1258005528;1;-0.5947580477
0.4946484337;0.124209409;0;-0.5787988945
0.4946484337;0.124209409;1;-0.5787988945
0.5084300438;0.1223811954;0;-0.5606060852
0.5084300438;0.1223811954;1;-0.5606060852
0.5224979839;0.1203247591;0;-0.5392163088
0.5224979839;0.1203247591;1;-0.5392163088
0.5368212608;0.1180365059;0;-0.5181518189
0.5368212608;0.1180365059;1;-0.5181518189
0.5513669323;0.1155175568;0;-0.4955769783
0.5513669323;0.1155175568;1;-0.4955769783
0.566101574;0.1127771248;0;-0.4717732778
0.566101574;0.1127771248;1;-0.4717732778
0.5809926394;0.1098334107;0;-0.4470291683
0.5809926394;0.1098334107;1;-0.4470291683
0.596007374;0.10670279;0;-0.4224753145
0.596007374;0.10670279;1;-0.4224753145
0.6111140375;0.1034057305;0;-0.3979698621
0.6111140375;0.1034057305;1;-0.3979698621
0.6262785854;0.0999499757;0;-0.3742713161
0.6262785854;0.0999499757;1;-0.3742713161
0.6414698497;0.09635282168;0;-0.3504308408
0.6414698497;0.09635282168;1;-0.3504308408
0.6566658625;0.09266472804;0;-0.3261829135
0.6566658625;0.09266472804;1;-0.3261829135
0.6718300201;0.08887032885;0;-0.3057695221
0.6718300201;0.08887032885;1;-0.3057695221
0.6869312887;0.08497420452;0;-0.2837709177
0.6869312887;0.08497420452;1;-0.2837709177
0.7019447533;0.08099959332;0;-0.2619649782
0.7019447533;0.08099959332;1;-0.2619649782
0.7168482603;0.07697323679;0;-0.2408801875
0.7168482603;0.07697323679;1;-0.2408801875
0.7316197565;0.07291601322;0;-0.2208094206
0.7316197565;0.07291601322;1;-0.2208094206
0.7462381856;0.06884657851;0;-0.2015656848
0.7462381856;0.06884657851;1;-0.2015656848
0.7606817332;0.06477533756;0;-0.1833253516
0.7606817332;0.06477533756;1;-0.1833253516
0.7749291393;0.06071058723;0;-0.165730572
0.7749291393;0.06071058723;1;-0.165730572
0.7889644875;0.05667498809;0;-0.1485292802
0.7889644875;0.05667498809;1;-0.1485292802
0.8027699512;0.05268170354;0;-0.1325235947
0.8027699512;0.05268170354;1;-0.1325235947
0.8163285167;0.04874535303;0;-0.117038327
0.8163285167;0.04874535303;1;-0.117038327
0.8296212792;0.04487435455;0;-0.102584632
0.8296212792;0.04487435455;1;-0.102584632
0.8426309354;0.04108269603;0;-0.08862656126
0.8426309354;0.04108269603;1;-0.08862656126
0.8553419489;0.03738972003;0;-0.07562592976
0.8553419489;0.03738972003;1;-0.07562592976
0.8677439128;0.03383670787;0;-0.0632702252
0.8677439128;0.03383670787;1;-0.0632702252
0.8798105651;0.03041126839;0;-0.05256966419
0.8798105651;0.03041126839;1;-0.05256966419
0.8915161942;0.02711111488;0;-0.04215016003
0.8915161942;0.02711111488;1;-0.04215016003
0.9028379452;0.02395065979;0;-0.0324122817
0.9028379452;0.02395065979;1;-0.0324122817
0.9137464656;0.02094085913;0;-0.02364105966
0.9137464656;0.02094085913;1;-0.02364105966
0.9242127636;0.0181016128;0;-0.01523097924
0.9242127636;0.0181016128;1;-0.01523097924
0.9342046437;0.01545281018;0;-0.008055752851
0.9342046437;0.01545281018;1;-0.008055752851
0.9436927143;0.01303300226;0;-0.001070581361
0.9436927143;0.01303300226;1;-0.001070581361
0.952636475;0.01084202379;0;0.004363568293
0.952636475;0.01084202379;1;0.004363568293
0.9610014631;0.008884877291;0;0.009793199198
0.9610014631;0.008884877291;1;0.009793199198
0.9687491453;0.007137874685;0;0.01379801037
0.9687491453;0.007137874685;1;0.01379801037
0.9758499965;0.005595680056;0;0.01819599344
0.9758499965;0.005595680056;1;0.01819599344
0.9822879411;0.00426088458;0;0.02095137934
0.9822879411;0.00426088458;1;0.02095137934
0.988031558;0.002995103423;0;0.02444861787
0.988031558;0.002995103423;1;0.02444861787
0.9931076532;0.001795336486;0;0.02559564317
0.9931076532;0.001795336486;1;0.02559564317
0.9974708054;0.0006871109015;0;0.03045871015
0.9974708054;0.0006871109015;1;0.03045871015
1;0;0;0.0289871617
1;0;1;0.0289871617
0.00819;0.0423;0;-1.340413078
0.009912373306;0.04497251402;0;-1.340413078
0.009912373306;0.04497251402;1;-1.340413078
0.00819;0.0423;1;-1.340413078
0.01173459545;0.04757768368;0;-1.356076052
0.01173459545;0.04757768368;1;-1.356076052
0.01365981899;0.05010777485;0;-1.392341544
0.01365981899;0.05010777485;1;-1.392341544
0.01567670115;0.05256547753;0;-1.409202652
0.01567670115;0.05256547753;1;-1.409202652
0.0177687617;0.05495955806;0;-1.422046478
0.0177687617;0.05495955806;1;-1.422046478
0.01993771007;0.05728417592;0;-1.444324087
0.01993771007;0.05728417592;1;-1.444324087
0.02217693286;0.05954122546;0;-1.450084826
0.02217693286;0.05954122546;1;-1.450084826
0.02447543835;0.06173790621;0;-1.452031166
0.02447543835;0.06173790621;1;-1.452031166
0.02682954034;0.0638749214;0;-1.457456179
0.02682954034;0.0638749214;1;-1.457456179
0.02923441232;0.06595463408;0;-1.460971608
0.02923441232;0.06595463408;1;-1.460971608
0.03168674977;0.06797818935;0;-1.461539482
0.03168674977;0.06797818935;1;-1.461539482
0.03418132483;0.06994941566;0;-1.462589797
0.03418132483;0.06994941566;1;-1.462589797
0.03672068006;0.07186262826;0;-1.466384385
0.03672068006;0.07186262826;1;-1.466384385
0.03929955104;0.07372223856;0;-1.459030254
0.03929955104;0.07372223856;1;-1.459030254
0.04191595022;0.07552867657;0;-1.450848883
0.04191595022;0.07552867657;1;-1.450848883
0.04456480573;0.07728720822;0;-1.436582249
0.04456480573;0.07728720822;1;-1.436582249
0.04723838534;0.07900795361;0;-1.420818688
0.04723838534;0.07900795361;1;-1.420818688
0.04993427939;0.08069352485;0;-1.410788941
0.04993427939;0.08069352485;1;-1.410788941
0.0526486976;0.08234910256;0;-1.402357493
0.0526486976;0.08234910256;1;-1.402357493
0.05537819194;0.08397972201;0;-1.40086422
0.05537819194;0.08397972201;1;-1.40086422
0.05812428747;0.08558222188;0;-1.409092282
0.05812428747;0.08558222188;1;-1.409092282
0.06088671512;0.08715640774;0;-1.419102563
0.06088671512;0.08715640774;1;-1.419102563
0.06366370954;0.08870471141;0;-1.432191219
0.06366370954;0.08870471141;1;-1.432191219
0.06646400535;0.09021037674;0;-1.461950654
0.06646400535;0.09021037674;1;-1.461950654
0.06928467878;0.09167756476;0;-1.472944059
0.06928467878;0.09167756476;1;-1.472944059
0.07212779942;0.09310080941;0;-1.493876987
0.07212779942;0.09310080941;1;-1.493876987
0.07500031933;0.0944637378;0;-1.518354707
0.07500031933;0.0944637378;1;-1.518354707
0.07789585676;0.09577701002;0;-1.516456204
0.07789585676;0.09577701002;1;-1.516456204
0.08081873173;0.09702816983;0;-1.532684749
0.08081873173;0.09702816983;1;-1.532684749
0.08377317397;0.09820284379;0;-1.537105043
0.08377317397;0.09820284379;1;-1.537105043
0.08675344298;0.09931039823;0;-1.516284741
0.08675344298;0.09931039823;1;-1.516284741
0.08975723105;0.1003525041;0;-1.493981952
0.08975723105;0.1003525041;1;-1.493981952
0.09278325884;0.1013280853;0;-1.465725616
0.09278325884;0.1013280853;1;-1.465725616
0.09583080291;0.1022343248;0;-1.426725867
0.09583080291;0.1022343248;1;-1.426725867
0.09889072509;0.1030979838;0;-1.364000282
0.09889072509;0.1030979838;1;-1.364000282
0.1019550775;0.1039458304;0;-1.311768378
0.1019550775;0.1039458304;1;-1.311768378
0.105024011;0.1047769359;0;-1.282444176
0.105024011;0.1047769359;1;-1.282444176
0.1080981756;0.1055884715;0;-1.25482086
0.1080981756;0.1055884715;1;-1.25482086
0.1111761175;0.1063855779;0;-1.228152365
0.1111761175;0.1063855779;1;-1.228152365
0.1142564583;0.1071733663;0;-1.206385507
0.1142564583;0.1071733663;1;-1.206385507
0.1173385752;0.1079541731;0;-1.191841555
0.1173385752;0.1079541731;1;-1.191841555
0.1204242229;0.1087208965;0;-1.184077976
0.1204242229;0.1087208965;1;-1.184077976
0.1235151175;0.1094661693;0;-1.177017578
0.1235151175;0.1094661693;1;-1.177017578
0.1266111855;0.1101896807;0;-1.166912857
0.1266111855;0.1101896807;1;-1.166912857
0.1297099003;0.1109017065;0;-1.155543555
0.1297099003;0.1109017065;1;-1.155543555
0.1328140971;0.1115892948;0;-1.155384061
0.1328140971;0.1115892948;1;-1.155384061
0.1359265414;0.1122387917;0;-1.153849542
0.1359265414;0.1122387917;1;-1.153849542
0.1390492057;0.1128370008;0;-1.144606651
0.1390492057;0.1128370008;1;-1.144606651
0.1421812419;0.1133840639;0;-1.119650077
0.1421812419;0.1133840639;1;-1.119650077
0.1453186176;0.1138997471;0;-1.079812144
0.1453186176;0.1138997471;1;-1.079812144
0.1484578103;0.1144042797;0;-1.044324952
0.1484578103;0.1144042797;1;-1.044324952
0.1515960871;0.1149145236;0;-1.017208276
0.1515960871;0.1149145236;1;-1.017208276
0.1547351518;0.1154198456;0;-1.001879501
0.1547351518;0.1154198456;1;-1.001879501
0.1578753102;0.1159183553;0;-0.9832765702
0.1578753102;0.1159183553;1;-0.9832765702
0.1610157459;0.1164151385;0;-0.9655797831
0.1610157459;0.1164151385;1;-0.9655797831
0.1641557279;0.1169147614;0;-0.9508479972
0.1641557279;0.1169147614;1;-0.9508479972
0.1672943415;0.1174228828;0;-0.9392721138
0.1672943415;0.1174228828;1;-0.9392721138
0.1704310985;0.1179423584;0;-0.9327365191
0.1704310985;0.1179423584;1;-0.9327365191
0.1735676089;0.1184633439;0;-0.9339732047
0.1735676089;0.1184633439;1;-0.9339732047
0.1767054629;0.1189761308;0;-0.9359002926
0.1767054629;0.1189761308;1;-0.9359002926
0.1798460639;0.1194718201;0;-0.9367527189
0.1798460639;0.1194718201;1;-0.9367527189
0.1829901698;0.1199447545;0;-0.9346464644
0.1829901698;0.1199447545;1;-0.9346464644
0.1861364022;0.1204033918;0;-0.9251968646
0.1861364022;0.1204033918;1;-0.9251968646
0.1892844522;0.1208493342;0;-0.9186889066
0.1892844522;0.1208493342;1;-0.9186889066
0.1924342661;0.1212826483;0;-0.9124286748
0.1924342661;0.1212826483;1;-0.9124286748
0.1955857803;0.1217034259;0;-0.9057451319
0.1955857803;0.1217034259;1;-0.9057451319
0.1987389297;0.1221117738;0;-0.8988669776
0.1987389297;0.1221117738;1;-0.8988669776
0.201893781;0.122506731;0;-0.8920365507
0.201893781;0.122506731;1;-0.8920365507
0.2050501849;0.122889142;0;-0.8839989252
0.2050501849;0.122889142;1;-0.8839989252
0.2082078336;0.1232610961;0;-0.8755502593
0.2082078336;0.1232610961;1;-0.8755502593
0.2113664785;0.1236245032;0;-0.8674205071
0.2113664785;0.1236245032;1;-0.8674205071
0.214525899;0.1239811252;0;-0.8597758075
0.214525899;0.1239811252;1;-0.8597758075
0.217685919;0.1243323989;0;-0.8533037301
0.217685919;0.1243323989;1;-0.8533037301
0.2208469818;0.1246741408;0;-0.8481339066
0.2208469818;0.1246741408;1;-0.8481339066
0.2240090132;0.1250068118;0;-0.8413511859
0.2240090132;0.1250068118;1;-0.8413511859
0.2271716458;0.1253337198;0;-0.8344218257
0.2271716458;0.1253337198;1;-0.8344218257
0.2303345572;0.1256579227;0;-0.8283564787
0.2303345572;0.1256579227;1;-0.8283564787
0.2334974441;0.1259823647;0;-0.8240904627
0.2334974441;0.1259823647;1;-0.8240904627
0.05415;-0.01617;0;0.4124572714
0.05175367118;-0.01614689352;0;0.4124572714
0.05175367118;-0.01614689352;1;0.4124572714
0.05415;-0.01617;1;0.4124572714
0.04945676128;-0.01611010635;0;0.4156120863
0.04945676128;-0.01611010635;1;0.4156120863
0.04725564152;-0.01601782646;0;0.4208473327
0.04725564152;-0.01601782646;1;0.4208473327
0.04514673601;-0.0158843015;0;0.4271079703
0.04514673601;-0.0158843015;1;0.4271079703
0.04312585031;-0.01571714903;0;0.4331766663
0.04312585031;-0.01571714903;1;0.4331766663
0.04118924763;-0.01551646877;0;0.439934222
0.04118924763;-0.01551646877;1;0.439934222
0.03933239119;-0.01529134748;0;0.4466211199
0.03933239119;-0.01529134748;1;0.4466211199
0.03755089513;-0.01504824006;0;0.4529423198
0.03755089513;-0.01504824006;1;0.4529423198
0.03584141663;-0.01478620592;0;0.4591316539
0.03584141663;-0.01478620592;1;0.4591316539
0.03420025149;-0.01450786644;0;0.4651058611
0.03420025149;-0.01450786644;1;0.4651058611
0.03262456272;-0.01421172573;0;0.4711836468
0.03262456272;-0.01421172573;1;0.4711836468
0.03111015921;-0.01390414057;0;0.4771503166
0.03111015921;-0.01390414057;1;0.4771503166
0.02965240959;-0.01359232155;0;0.4824588843
0.02965240959;-0.01359232155;1;0.4824588843
0.0282486316;-0.01327426975;0;0.4875167727
0.0282486316;-0.01327426975;1;0.4875167727
0.02689527208;-0.01295287436;0;0.4921938878
0.02689527208;-0.01295287436;1;0.4921938878
0.02558896868;-0.01263055888;0;0.4964265443
0.02558896868;-0.01263055888;1;0.4964265443
0.02432748772;-0.01230561561;0;0.5003572593
0.02432748772;-0.01230561561;1;0.5003572593
0.02310747978;-0.01198132967;0;0.5039113863
0.02310747978;-0.01198132967;1;0.5039113863
0.02192555232;-0.01166146322;0;0.5070148319
0.02192555232;-0.01166146322;1;0.5070148319
0.02077916254;-0.01134686588;0;0.509639303
0.02077916254;-0.01134686588;1;0.509639303
0.01966795331;-0.01103103323;0;0.511907312
0.01966795331;-0.01103103323;1;0.511907312
0.01859184341;-0.01070773713;0;0.5137874037
0.01859184341;-0.01070773713;1;0.5137874037
0.01754790453;-0.01038095693;0;0.515168881
0.01754790453;-0.01038095693;1;0.515168881
0.01653551742;-0.01004736878;0;0.5159232171
0.01653551742;-0.01004736878;1;0.5159232171
0.01555578849;-0.009699479557;0;0.515952435
0.01555578849;-0.009699479557;1;0.515952435
0.01460797899;-0.009336220739;0;0.5149727467
0.01460797899;-0.009336220739;1;0.5149727467
0.01368998128;-0.00896036737;0;0.5128522277
0.01368998128;-0.00896036737;1;0.5128522277
0.01280319839;-0.008566241595;0;0.5093080025
0.01280319839;-0.008566241595;1;0.5093080025
0.0119490553;-0.008149448716;0;0.504088783
0.0119490553;-0.008149448716;1;0.504088783
0.01112567782;-0.007713019149;0;0.4971808354
0.01112567782;-0.007713019149;1;0.4971808354
0.01033304195;-0.007256270127;0;0.4881989839
0.01033304195;-0.007256270127;1;0.4881989839
0.009571841849;-0.006777586517;0;0.4769678491
0.009571841849;-0.006777586517;1;0.4769678491
0.00884197707;-0.006276971339;0;0.4635899541
0.00884197707;-0.006276971339;1;0.4635899541
0.008142333504;-0.005755958006;0;0.4481259767
0.008142333504;-0.005755958006;1;0.4481259767
0.007472537358;-0.005214987358;0;0.4303139165
0.007472537358;-0.005214987358;1;0.4303139165
0.006832612113;-0.004654103683;0;0.4102049645
0.006832612113;-0.004654103683;1;0.4102049645
0.006223516954;-0.004072451773;0;0.3877542688
0.006223516954;-0.004072451773;1;0.3877542688
0.005643241138;-0.003472325819;0;0.3640108732
0.005643241138;-0.003472325819;1;0.3640108732
0.005089030874;-0.002856304056;0;0.3386785257
0.005089030874;-0.002856304056;1;0.3386785257
0.004559151584;-0.002225650868;0;0.3106862084
0.004559151584;-0.002225650868;1;0.3106862084
0.004054706373;-0.001579131854;0;0.27895931
0.004054706373;-0.001579131854;1;0.27895931
0.003575020668;-0.0009170534573;0;0.2456134425
0.003575020668;-0.0009170534573;1;0.2456134425
0.003119669511;-0.0002394889502;0;0.2102348305
0.003119669511;-0.0002394889502;1;0.2102348305
0.00268890441;0.0004539659865;0;0.1720822708
0.00268890441;0.0004539659865;1;0.1720822708
0.002283106747;0.001163762781;0;0.1314862115
0.002283106747;0.001163762781;1;0.1314862115
0.001902769428;0.001890370612;0;0.08872249311
0.001902769428;0.001890370612;1;0.08872249311
0.00154902352;0.002634541558;0;0.04374679967
0.00154902352;0.002634541558;1;0.04374679967
0.00122349594;0.003397151194;0;-0.002263007207
0.00122349594;0.003397151194;1;-0.002263007207
0.0009259274509;0.004178191098;0;-0.04732558634
0.0009259274509;0.004178191098;1;-0.04732558634
0.0006558999992;0.004977728809;0;-0.09274017671
0.0006558999992;0.004977728809;1;-0.09274017671
0.000415036757;0.005796594483;0;-0.1398848329
0.000415036757;0.005796594483;1;-0.1398848329
0.00020527797;0.006635639022;0;-0.1853438218
0.00020527797;0.006635639022;1;-0.1853438218
2.517894045e-05;0.007494844311;0;-0.2262598417
2.517894045e-05;0.007494844311;1;-0.2262598417
-0.0001256901825;0.008374620535;0;-0.267047856
-0.0001256901825;0.008374620535;1;-0.267047856
-0.000243794691;0.009276083367;0;-0.3073957424
-0.000243794691;0.009276083367;1;-0.3073957424
-0.0003320387567;0.01019949811;0;-0.3391797894
-0.0003320387567;0.01019949811;1;-0.3391797894
