x;y;p
746.1392229;382.2443316;-2569.0936640773953
737.9016117;381.491073;-2574.905798886908
730.1980332;380.77972200000005;-2583.0452123374503
722.9967381;380.1146712;-2591.032588052423
716.2671507;379.4979915;-2648.960940764093
709.9799999999999;378.92999999999995;-2648.960940764093
700.4923323;377.9470941000001;-2625.7376345163075
691.0036716;376.97376810000003;-2639.330121345908
681.5149374;376.0011594;-2658.6556815909826
672.0270396;375.0204354;-2680.7341822942276
662.5409453999999;374.0224224;-2702.3454565565853
653.0577569999999;372.99719669999996;-2718.8176774378726
643.5776970000001;371.9433756;-2739.439172251688
634.0994355;370.8735096;-2763.7969052346975
624.6235008000001;369.7832883;-2789.7001249381433
615.1505547;368.667426;-2816.61947544537
605.6813430000001;367.520193;-2842.229158754107
596.2167891;366.3353214;-2863.99243570356
586.7573409;365.1102777;-2885.9077828880777
577.3027983;363.8479449;-2907.20305436463
567.8533565999999;362.5480026;-2927.149561431585
558.4092066;361.2101754;-2947.885379910135
548.9705094;359.83426349999996;-2977.99393103289
539.5381917000001;358.4154603;-2984.704931777153
530.1163887;356.92839239999995;-2981.9889097894356
520.7028267000001;355.3900317;-2975.8487741452577
511.2932955;353.8270752;-2971.9084155693977
501.8830245;352.26864839999996;-2992.732290792405
492.46718369999996;350.74428420000004;-3029.61565987857
483.04723770000004;349.2454155;-3076.5544444077977
473.6259306;347.7550659;-3132.9403898854953
464.2054554;346.2595368;-3192.2135130737247
454.7882613;344.7435708;-3241.0544391980998
445.37343089999996;343.2128391;-3327.4542701862
435.95585280000006;341.69924130000004;-3440.5244485164008
426.5437257;340.15219170000006;-3567.457066589325
417.14761710000005;338.5110024;-3646.9743265824745
407.7796242;336.71637509999994;-3676.424256958951
398.44229129999997;334.7678844;-3681.313579759725
389.1297009;332.7051195;-3681.821763529875
379.8335565;330.5690421;-3718.0469177948257
370.5453525;328.3985079;-3750.24283246305
361.27266869999994;326.1626895;-3772.7388490806
352.01572559999994;323.86251930000003;-3797.475358579876
342.76937490000006;321.5200989;-3843.8156620410755
333.52835250000004;319.15673369999996;-3913.169769172125
324.2945268;316.7654145;-3998.1415946535003
315.072033;314.3308077;-4086.1556946756004
305.8652325;311.8374912;-4179.589200193051
296.67217527;309.2939514;-4346.01179851545
287.49240873;306.7029744;-4545.869625582075
278.34977652;303.9842559;-4670.1316008396
269.27169315;301.0575123;-4760.1626450112
260.26032893999997;297.93119469;-4831.224348892725
251.31952191000002;294.60853137000004;-4897.562515632676
242.45619518999996;291.08450948999996;-4883.478464382525
233.68757028;287.33103006;-4831.7706685899
225.00095799000002;283.39121339999997;-4837.819726311075
216.3833982600001;279.30242823000003;-4759.828202904075
207.85403634;275.03269428;-4693.131184387275
199.39201605000005;270.63113022;-4658.103722541151
190.99112862;266.11413423000005;-4563.283466758276
182.66014535999997;261.46922322;-4521.580063794676
174.37286241;256.74666564;-4489.68505621545
166.13457581999995;251.93916603;-4463.4685993695
157.94609279999997;247.04730768;-4468.226503133926
149.80283817;242.08057455000002;-4495.090993537725
141.71515602;237.02386083;-4527.048024172801
133.69441718999997;231.86162466;-4577.274276320025
125.74785066;226.58602971000002;-4622.730982236676
117.89865311999998;221.16671568;-4648.79867105115
110.16204018000003;215.58788478000002;-4672.230587096626
102.54397449;209.84824698;-4660.140175946325
95.06024930999999;203.93456805;-4656.79363603545
87.70323696000004;197.86390224;-4654.9842616998
80.48862102000004;191.62476419999996;-4643.783313934276
73.42631504999997;185.21371863000002;-4626.498001888351
